Transaction_ID,Order_Date,Customer_Reference_ID,Item_SKU,Quantity_Purchased,Total_Revenue_Logged,Marketing_Channel,Time_to_Ship_Days,Refund_Applied
T1,2025-08-31,C2553,ACC-22,1,118.0 GHS,Meta Paid,6,TRUE
T2,29-Jun-2025,cust_936,ACC-13,2,430.0 GHS,Google_Ads,4,N
T3,23-Jan-2025,cust_1893,Wig-WAVY-20,3,24000.0 GHS,Organic,7,TRUE
T4,2024-10-18,C3434,ACC-1,1,263.0 GHS,Organic,5,N
T5,2025-04-09,cust_215,ACC-24,2,298.0 GHS,Organic,4,N
T6,2025-09-05,C3969,ACC-18,1,182.0 GHS,Organic,7,N
T7,22-Jul-2025,cust_4304,Wig-UPART-28,3,2507.32 USD,Organic,3,N
T8,2025-10-01,cust_4983,Wig-WAVY-20,3,1600000 NGN,Organic,37,N
T9,01-Aug-2024,cust_1883,Wig-Bone-30,1,7800.0 GHS,Organic,4,N
T10,22-Feb-2025,cust_2670,ACC-5,3,822.0 GHS,Email,3,N
T11,2024-10-05,C5368,Wig-CURL-32,2,28000.0 GHS,Referral,43,NULL
T12,2024-08-17,C973,Wig-HDC-24,3,28500.0 GHS,Organic,7,NULL
T13,2025-05-09,C3835,ACC-13,3,645.0 GHS,Meta Paid,5,Y
T14,12-Feb-2025,C2453,ACC-20,3,291.0 GHS,Organic,4,N
T15,12/08/25,C1884,Wig-OMBRE-22,2,13600.0 GHS,Organic,43,N
T16,2025-10-29,C2967,Wig-UPART-28,1,660000 NGN,Organic,26,NULL
T17,2025-10-13,C4062,ACC-13,3,645.0 GHS,Email,7,NULL
T18,2024-09-05,C2052,ACC-16,1,17.64 USD,Organic,6,NULL
T19,2025-07-14,cust_4515,ACC-22,2,236.0 GHS,Meta Paid,7,N
T20,22/07/25,C4173,Wig-CURL-32,2,2447.97 USD,Meta Paid,7,TRUE
T21,17/07/24,C1640,ACC-23,1,224.0 GHS,Organic,4,N
T22,02/09/25,C2348,ACC-16,1,252.0 GHS,Referral,5,N
T23,28/10/24,C4718,Wig-HDShort,3,19500.0 GHS,Organic,40,N
T24,2025-05-09,C3368,Wig-OMBRE-22,1,6800.0 GHS,Google_Ads,45,N
T25,2024-09-08,C224,ACC-9,1,309.0 GHS,Referral,6,TRUE
T26,16/09/24,C5380,ACC-16,3,49.44 USD,Organic,3,N
T27,02/11/24,C975,ACC-10,1,227.0 GHS,Referral,7,N
T28,2025-06-17,cust_727,ACC-19,3,492.0 GHS,Organic,6,N
T29,26/03/25,cust_3896,ACC-9,2,51.17 USD,Organic,4,N
T30,30-Jan-2025,cust_751,ACC-10,3,52.45 USD,Referral,4,Y
T31,21-Feb-2025,cust_1199,ACC-12,20,3160.0 GHS,Email,5,Y
T32,20/06/25,C2039,ACC-5,3,822.0 GHS,Meta Paid,7,TRUE
T33,29/10/25,cust_3528,ACC-24,2,24.85 USD,Organic,7,N
T34,19-Aug-2024,cust_3648,ACC-9,3,927.0 GHS,Organic,6,TRUE
T35,2024-10-31,C910,ACC-23,1,224.0 GHS,Organic,5,TRUE
T36,05/05/25,cust_2298,ACC-14,1,117.0 GHS,Google_Ads,4,N
T37,2025-04-05,C3888,acc-4,3,74.29 USD,Email,5,Y
T38,2025-02-16,cust_2596,ACC-14,3,351.0 GHS,Organic,4,NULL
T39,2024-08-13,cust_3449,ACC-6,1,119.0 GHS,Organic,7,TRUE
T40,2025-07-29,C1385,ACC-21,3,828.0 GHS,Meta Paid,7,NULL
T41,23-Nov-2024,cust_558,Wig-HDC-24,1,675.25 USD,Organic,24,N
T42,21/05/25,cust_3554,Wig-RED-14,3,21000.0 GHS,Meta Paid,38,N
T43,14/08/25,C5408,ACC-11,1,179.0 GHS,Meta Paid,6,Y
T44,24/10/24,C546,Wig-AFRO,2,452.75 USD,Organic,6,N
T45,18/05/25,C5049,ACC-19,2,328.0 GHS,Meta Paid,6,N
T46,24-Aug-2025,cust_4211,Wig-Tpart-12,2,7000.0 GHS,Meta Paid,5,NULL
T47,11-Oct-2024,C5120,ACC-9,1,309.0 GHS,Referral,6,N
T48,02/02/25,cust_1605,ACC-10,1,227.0 GHS,Organic,6,N
T49,2025-01-16,cust_2915,ACC-14,1,117.0 GHS,Organic,4,TRUE
T50,2024-07-09,cust_4673,ACC-6,2,15.62 USD,Organic,6,N
T51,2025-06-03,cust_1060,ACC-10,2,39.52 USD,Google_Ads,7,NULL
T52,31/07/24,cust_2784,Wig-LUX-26,3,37500.0 GHS,Referral,5,N
T53,16/09/24,cust_1527,Wig-AFRO,1,3500.0 GHS,Organic,7,NULL
T54,28/10/25,cust_2836,ACC-7,1,291.0 GHS,Organic,6,NULL
T55,02/11/25,cust_1649,Wig-OMBRE-22,3,20400.0 GHS,Organic,20,NULL
T56,10/05/25,cust_5307,Wig-RED-14,3,1400000 NGN,Meta Paid,35,TRUE
T57,2025-10-28,cust_4038,ACC-20,3,291.0 GHS,Organic,5,Y
T58,01-Jul-2025,C4039,ACC-13,2,36.27 USD,Organic,5,NULL
T59,14/07/24,C4538,Wig-CURL-32,1,919.73 USD,Organic,7,NULL
T60,2024-08-01,C1171,Wig-Short-10,2,7600.0 GHS,Email,44,N
T61,2025-10-07,C4217,ACC-24,2,298.0 GHS,Organic,5,NULL
T62,17-Oct-2025,C4956,ACC-17,1,17.62 USD,Referral,4,NULL
T63,07/06/25,C1139,ACC-12,2,316.0 GHS,Google_Ads,4,NULL
T64,2025-09-30,C4296,Wig-LUX-26,1,833333 NGN,Email,33,Y
T65,23/06/25,cust_388,ACC-3,-1,-304.0 GHS,Meta Paid,4,Y
T66,18/02/25,C1035,ACC-19,3,39.05 USD,Referral,7,N
T67,2024-08-25,cust_3675,ACC-7,1,291.0 GHS,Organic,3,N
T68,2025-09-11,C1380,ACC-2,2,308.0 GHS,Referral,6,N
T69,2025-08-23,C3700,ACC-20,2,194.0 GHS,Organic,4,N
T70,04-Feb-2025,C2077,Wig-WAVY-20,2,16000.0 GHS,Organic,4,NULL
T71,2025-08-23,C2294,ACC-19,2,28.02 USD,Organic,3,N
T72,21/04/25,C4192,ACC-1,3,789.0 GHS,Organic,6,N
T73,11/05/25,C3016,Wig-STRA-16,3,19500.0 GHS,Meta Paid,6,N
T74,21-Aug-2024,cust_1923,ACC-24,3,447.0 GHS,Email,7,Y
T75,02/12/24,C4169,acc-25,2,490.0 GHS,Referral,5,N
T76,12-Apr-2025,C636,ACC-13,1,215.0 GHS,Organic,4,Y
T77,04-Jul-2024,C1462,ACC-20,1,97.0 GHS,Organic,4,N
T78,14/12/24,C3350,ACC-12,2,316.0 GHS,Organic,3,Y
T79,12/12/24,cust_2376,Wig-BLOND-14,3,900000 NGN,Organic,24,N
T80,11-Mar-2025,C1139,Wig-OMBRE-22,2,13600.0 GHS,Referral,29,Y
T81,01-Apr-2025,cust_1504,Wig-Bone-30,2,15600.0 GHS,Organic,22,N
T82,10/10/24,C2959,ACC-17,3,582.0 GHS,Email,6,Y
T83,2025-10-24,C2288,acc-4,2,654.0 GHS,Organic,5,Y
T84,2025-01-23,cust_3591,ACC-1,2,526.0 GHS,Organic,7,Y
T85,01/04/25,C52,ACC-23,2,448.0 GHS,Organic,6,Y
T86,2024-09-23,C119,Wig-SWISS-18,3,12600.0 GHS,Organic,7,N
T87,12/02/25,C1438,ACC-12,3,35.58 USD,Referral,6,N
T88,2025-07-25,C1231,Wig-LUX-26,2,25000.0 GHS,Meta Paid,5,N
T89,29-Aug-2024,C4687,ACC-7,3,873.0 GHS,Organic,5,N
T90,2024-10-10,cust_3276,ACC-20,1,97.0 GHS,Organic,3,N
T91,2025-10-12,C2100,ACC-23,3,672.0 GHS,Email,3,N
T92,2025-02-06,C5242,Wig-HDShort,2,13000.0 GHS,Email,30,N
T93,02-Oct-2025,cust_1604,ACC-12,1,158.0 GHS,Email,4,N
T94,01-Jan-2025,cust_3410,ACC-10,2,454.0 GHS,Organic,6,TRUE
T95,14/03/25,cust_3568,ACC-5,3,65.99 USD,Organic,6,N
T96,21/10/25,C1733,ACC-11,3,35800 NGN,Organic,7,N
T97,2024-12-19,C1669,ACC-16,2,504.0 GHS,Organic,5,Y
T98,23/10/24,C5004,acc-4,3,981.0 GHS,Email,5,TRUE
T99,02/10/25,C5358,ACC-17,1,16.72 USD,Referral,7,TRUE
T100,10/07/24,cust_4229,ACC-3,1,21.32 USD,Email,6,N
T101,2025-07-05,C3999,ACC-2,1,154.0 GHS,Meta Paid,5,N
T102,2025-03-14,cust_5359,Wig-HDShort,1,6500.0 GHS,Referral,34,N
T103,2024-07-01,C346,ACC-11,3,537.0 GHS,Organic,6,N
T104,03-Nov-2024,C4086,Wig-WAVY-20,1,8000.0 GHS,Organic,6,N
T105,21/02/25,C1345,Wig-Tpart-12,1,3500.0 GHS,Referral,36,N
T106,16-Nov-2024,C4646,ACC-3,1,304.0 GHS,Referral,3,N
T107,12-Jul-2025,cust_273,Wig-Bone-30,1,7800.0 GHS,Meta Paid,4,N
T108,2025-07-21,cust_2376,ACC-22,2,15733 NGN,Organic,7,N
T109,17-Oct-2024,C5066,ACC-10,2,30266 NGN,Organic,7,Y
T110,26-Jul-2025,C1518,ACC-23,2,448.0 GHS,Meta Paid,5,N
T111,2025-09-27,cust_5304,ACC-24,3,447.0 GHS,Organic,7,N
T112,2025-01-16,cust_298,ACC-9,2,618.0 GHS,Organic,6,N
T113,2025-01-05,cust_2795,Wig-HDC-24,2,19000.0 GHS,Email,7,N
T114,2024-07-26,cust_3653,Wig-OMBRE-22,2,13600.0 GHS,Organic,23,Y
T115,06/07/24,C2643,ACC-18,1,182.0 GHS,Referral,7,Y
T116,2025-03-27,C593,ACC-3,2,608.0 GHS,Email,4,N
T117,2025-04-15,cust_2249,ACC-15,1,277.0 GHS,Referral,7,N
